_golden,_unit_state,birthplace_gold,date_of_birth_gold,race_ethnicity_gold,sexual_orientation_gold,year_of_award_gold
False,finalized,Stockholm_Sweden,1915-08-29,White,Straight,1975
True,golden,New_York_City,1927-10-31,White,Straight,1976
False,finalized,Old_Westbury_Ny,1914-08-02,White,Straight,1977
False,finalized,London_England,1937-01-30,White,Straight,1978
False,finalized,Ilford_Essex_England,1934-12-28,White,Straight,1979
False,finalized,Summit_Nj,1949-06-22,White,Straight,1980
False,finalized,Newport_Ar,1953-02-08,White,Straight,1981
False,finalized,Troy_Ny,1925-06-21,White,Straight,1982
False,finalized,Cloquet_Mn,1949-04-20,White,Straight,1983
False,finalized,Morristown_Nj,1945-04-02,White,Na,1984
False,finalized,Croydon_Surrey_England,1907-12-22,White,Straight,1985
False,finalized,Santa_Monica_Ca,1951-07-08,White,Straight,1986
False,finalized,Kansas_City_Mo,1948-03-28,White,Straight,1987
False,finalized,Lowell_Ma,1931-06-20,White,Straight,1988
False,finalized,Wareham_Ma,1956-01-21,White,Straight,1989
False,finalized,Dublin_Ireland,1945-02-17,White,Straight,1990
False,finalized,New_York_City,1955-11-13,Black,Straight,1991
False,finalized,Queens_Ny,1948-02-28,Hispanic,Straight,1992
False,finalized,Brooklyn_Ny,1964-12-04,White,Straight,1993
False,finalized,Winnipeg_Manitoba_Canada,1982-07-24,White,Bisexual,1994
False,finalized,Kansas_City_Mo,1948-03-28,White,Straight,1995
False,finalized,Tenafly_Nj,1967-09-28,White,Straight,1996
False,finalized,Paris_France,1964-03-09,White,Straight,1997
False,finalized,Athens_Ga,1953-12-08,White,Straight,1998
False,finalized,York_North_Yorkshire_England,1934-12-09,White,Straight,1999
True,golden,Los_Angeles_Ca,1975-06-04,White,Bisexual,2000
True,golden,La_Jolla_Ca,1959-08-14,White,Straight,2001
False,finalized,Catskill_Mountains_Ny,1970-12-12,White,Straight,2002
False,finalized,Mumbles_Wales,1969-09-25,White,Straight,2003
False,finalized,Katy_Tx,1969-04-25,White,Straight,2004
False,finalized,Melbourne_Victoria_Australia,1969-05-14,White,Straight,2005
True,golden,London_England,1971-03-07,White,Straight,2006
False,finalized,Chicago_Il,1981-09-12,Black,Straight,2007
False,finalized,London_England,1960-11-05,White,Straight,2007
False,finalized,Madrid_Spain,1974-04-28,Hispanic,Straight,2009
True,golden,Woodlawn_Md,1967-12-11,Black,Straight,2010
False,finalized,New_York_City,1960-09-14,White,Straight,2011
False,finalized,Montgomery_Al,1972-05-25,Black,Na,2012
False,finalized,Brooklyn_Ny,1982-11-12,White,Straight,2013
False,finalized,Mexico_City_Mexico,1983-03-01,Black,Na,2014
False,finalized,Sucha_Galicia_Austria,1906-06-22,White,Straight,1961
False,finalized,Independence_Mo,1911-07-16,White,Straight,1941
False,finalized,Concord_Ca,1956-07-09,White,Straight,1994
False,finalized,New_York_City,1939-02-03,White,Straight,1979
False,finalized,Quincy_Il,1906-05-03,White,Straight,1942
False,finalized,Los_Angeles_Ca,1975-06-04,White,Bisexual,2000
False,finalized,New_York_City,1927-10-31,White,Straight,1976
False,finalized,New_York_City,1903-06-25,White,Straight,1946
False,finalized,Bascom_Fl,1941-01-14,White,Straight,1977
False,finalized,Walters_Ok,1910-12-13,White,Straight,1943
