birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person
Toronto_Ontario_Canada,1884-04-06,White,Straight,1949,Best_Supporting_Actor,The_Treasure_of_the_Sierra_Madre,Walter_Huston
Lima_Oh,1903-11-07,White,Straight,1950,Best_Supporting_Actor,Twelve_OClock_High,Dean_Jagger
St_Petersburg_Russia,1906-07-03,White,Straight,1951,Best_Supporting_Actor,All_About_Eve,George_Sanders
Chicago_Il,1912-03-22,White,Straight,1952,Best_Supporting_Actor,A_Streetcar_Named_Desire,Karl_Malden
Chihuahua_Mexico,1915-04-21,Hispanic,Straight,1953,Best_Supporting_Actor,Viva_Zapata,Anthony_Quinn
Hoboken_Nj,1915-12-12,White,Straight,1954,Best_Supporting_Actor,From_Here_to_Eternity,Frank_Sinatra
New_York_City,1915-09-10,White,Straight,1955,Best_Supporting_Actor,The_Barefoot_Contessa,Edmond_OBrien
Newton_Ma,1925-02-08,White,Straight,1956,Best_Supporting_Actor,Mister_Roberts,Jack_Lemmon
Chihuahua_Mexico,1915-04-21,Hispanic,Straight,1957,Best_Supporting_Actor,Lust_for_Life,Anthony_Quinn
New_York_City,1919-02-05,White,Straight,1958,Best_Supporting_Actor,Sayonara,Red_Buttons
Hunt_City_Il,1909-06-14,White,Straight,1959,Best_Supporting_Actor,The_Big_Country,Burl_Ives
Marian_Glas_Anglesey_Wales,1912-05-30,White,Straight,1960,Best_Supporting_Actor,BenHur,Hugh_Griffith
London_England,1921-04-16,White,Straight,1961,Best_Supporting_Actor,Spartacus,Peter_Ustinov
Norwood_Oh,1934-09-16,White,Gay,1962,Best_Supporting_Actor,West_Side_Story,George_Chakiris
Hartford_Ct,1901-03-25,White,Straight,1963,Best_Supporting_Actor,Sweet_Bird_of_Youth,Ed_Begley_Sr
Macon_Ga,1901-04-05,White,Straight,1964,Best_Supporting_Actor,Hud,Melvyn_Douglas
London_England,1921-04-16,White,Straight,1965,Best_Supporting_Actor,Topkapi,Peter_Ustinov
Bronx_Ny,1919-11-04,White,Straight,1966,Best_Supporting_Actor,A_Thousand_Clowns,Martin_Balsam
New_York_City,1920-10-01,White,Straight,1967,Best_Supporting_Actor,The_Fortune_Cookie,Walter_Matthau
New_York_City,1925-02-18,White,Straight,1968,Best_Supporting_Actor,Cool_Hand_Luke,George_Kennedy
Malden_Ma,1907-06-16,White,Straight,1969,Best_Supporting_Actor,The_Subject_Was_Roses,Jack_Albertson
St_Cloud_Mn,1913-11-04,White,Straight,1970,Best_Supporting_Actor,They_Shoot_Horses_Dont_They,Gig_Young
Felixstowe_Suffolk_England,1908-02-22,White,Straight,1971,Best_Supporting_Actor,Ryans_Daughter,John_Mills
Shidler_Ok,1918-06-13,White,Straight,1972,Best_Supporting_Actor,The_Last_Picture_Show,Ben_Johnson
Cleveland_Oh,1932-04-11,White,Gay,1973,Best_Supporting_Actor,Cabaret,Joel_Grey
Bucharest_Romania,1902-09-22,White,Straight,1974,Best_Supporting_Actor,The_Paper_Chase,John_Houseman
New_York_City,1943-08-17,White,Straight,1975,Best_Supporting_Actor,The_Godfather_Part_II,Robert_De_Niro
New_York_City,1896-01-20,White,Straight,1976,Best_Supporting_Actor,The_Sunshine_Boys,George_Burns
Chicago_Il,1922-07-26,White,Straight,1977,Best_Supporting_Actor,All_the_Presidents_Men,Jason_Robards
Chicago_Il,1922-07-26,White,Straight,1978,Best_Supporting_Actor,Julia,Jason_Robards
Astoria_Ny,1943-03-31,White,Straight,1979,Best_Supporting_Actor,The_Deer_Hunter,Christopher_Walken
