_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold,Nationality,gender
670454393,False,finalized,3,2/10/15 2:13,Berlin_Germany,1.0,1931-11-06 00:00:00,1.0,White,1.0,Jewish,1.0,Straight,1.0,1968,1.0,Best_Director,http://www.nndb.com/people/455/000023386/,Berlin_Germany,1931-11-06 00:00:00,The_Graduate,Mike_Nichols,White,Jewish,Straight,1968,United States,Male
670454394,False,finalized,3,2/10/15 3:56,St_Louis_Park_Mn,1.0,1954-11-29 00:00:00,1.0,White,1.0,Jewish,1.0,Straight,1.0,2008,1.0,Best_Director,http://www.nndb.com/people/399/000025324/,St_Louis_Park_Mn,1954-11-29 00:00:00,No_Country_for_Old_Men,Joel_Coen,White,Jewish,Straight,2008,United States,Male
670454395,False,finalized,3,2/10/15 2:29,London_England,1.0,1906-12-30 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1969,1.0,Best_Director,http://www.nndb.com/people/290/000064098/,London_England,1906-12-30 00:00:00,Oliver,Carol_Reed,White,Na,Straight,1969,England,Male
670454396,False,finalized,3,2/10/15 2:01,London_England,1.0,1926-02-16 00:00:00,1.0,White,1.0,Na,1.0,Gay,1.0,1969,1.0,Best_Director,http://www.nndb.com/people/771/000032675/,London_England,1926-02-16 00:00:00,Midnight_Cowboy,John_Schlesinger,White,Na,Gay,1969,England,Male
670454397,False,finalized,3,2/10/15 3:56,Tokyo_Japan,1.0,1920-05-30 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1970,1.0,Best_Director,http://www.nndb.com/people/509/000032413/,Tokyo_Japan,1920-05-30 00:00:00,Patton,Franklin_J_Schaffner,White,Na,Straight,1970,United States,Male
670454398,False,finalized,3,2/10/15 2:11,Chicago_Il,1.0,1935-08-29 00:00:00,1.0,White,1.0,Jewish,1.0,Straight,1.0,1972,1.0,Best_Director,http://www.nndb.com/people/112/000024040/,Chicago_Il,1935-08-29 00:00:00,The_French_Connection,William_Friedkin,White,Jewish,Straight,1972,United States,Male
670454399,False,finalized,3,2/10/15 1:51,Chicago_Il,1.0,1927-06-23 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1973,1.0,Best_Director,http://www.nndb.com/people/159/000032063/,Chicago_Il,1927-06-23 00:00:00,Cabaret,Bob_Fosse,White,Na,Straight,1973,United States,Male
670454400,False,finalized,3,2/10/15 2:05,Minneapolis_Mn,1.0,1921-12-20 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1973,1.0,Best_Director,http://www.nndb.com/people/783/000032687/,Minneapolis_Mn,1921-12-20 00:00:00,The_Sting,George_Roy_Hill,White,Na,Straight,1973,United States,Male
670454401,False,finalized,3,2/10/15 2:15,Detroit_Mi,1.0,1939-04-07 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1975,1.0,Best_Director,http://www.nndb.com/people/866/000022800/,Detroit_Mi,1939-04-07 00:00:00,The_Godfather_Part_II,Francis_Ford_Coppola,White,Na,Straight,1975,United States,Male
670454402,False,finalized,3,2/10/15 1:59,CÌÁslav_Czechoslovakia,1.0,18-Feb-1932,1.0,White,1.0,Na,1.0,Straight,1.0,1976,1.0,Best_Director,http://www.nndb.com/people/622/000023553/,CÌÁslav_Czechoslovakia,18-Feb-1932,One_Flew_over_the_Cuckoos_Nest,Milos_Forman,White,Na,Straight,1976,United States,Male
670454403,False,finalized,3,2/10/15 2:06,Oak_Park_Il,1.0,1935-12-21 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1976,0.6667,Best_Director,http://www.nndb.com/people/679/000032583/,Oak_Park_Il,1935-12-21 00:00:00,Rocky,John_G_Avildsen,White,Na,Straight,1976,United States,Male
670454404,False,finalized,3,2/10/15 2:14,Brooklyn_Ny,1.0,1935-12-01 00:00:00,1.0,White,1.0,Jewish,1.0,Straight,1.0,1978,1.0,Best_Director,http://www.nndb.com/people/501/000022435/,Brooklyn_Ny,1935-12-01 00:00:00,Annie_Hall,Woody_Allen,White,Jewish,Straight,1978,United States,Male
670454405,True,golden,75,,New_York_City,1.0,1939-02-03 00:00:00,0.9597,White,1.0,Na,1.0,Straight,1.0,1979,0.7227,Best_Director,http://www.nndb.com/people/810/000043681/,New_York_City,1939-02-03 00:00:00,The_Deer_Hunter,Michael_Cimino,White,Na,Straight,1979,United States,Male
670454406,False,finalized,3,2/10/15 4:02,Waxahachie_Tx,1.0,1932-09-29 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1980,1.0,Best_Director,http://www.nndb.com/people/267/000064075/,Waxahachie_Tx,1932-09-29 00:00:00,Kramer_vs_Kramer,Robert_Benton,White,Na,Straight,1980,United States,Male
670454407,False,finalized,3,2/10/15 4:07,Santa_Monica_Ca,1.0,18-Aug-1936 [1],0.6562,White,1.0,Na,1.0,Straight,1.0,1980,1.0,Best_Director,http://www.nndb.com/people/795/000022729/,Santa_Monica_Ca,18-Aug-1936 [1],Ordinary_People,Robert_Redford,White,Na,Straight,1980,United States,Male
670454408,False,finalized,3,2/10/15 1:43,Richmond_Va,1.0,30-Mar-1937,1.0,White,1.0,Baptist,1.0,Straight,1.0,1981,1.0,Best_Director,http://www.nndb.com/people/719/000022653/,Richmond_Va,30-Mar-1937,Reds,Warren_Beatty,White,Baptist,Straight,1981,United States,Male
670454409,False,finalized,3,2/10/15 2:00,Cambridge_England,1.0,29-Aug-1923,1.0,White,1.0,Na,1.0,Straight,1.0,1982,1.0,Best_Director,http://www.nndb.com/people/750/000023681/,Cambridge_England,29-Aug-1923,Gandhi,Richard_Attenborough,White,Na,Straight,1982,England,Male
670454410,False,finalized,3,2/10/15 2:12,North_Bergen_Nj,1.0,9-May-1940,1.0,White,1.0,Na,1.0,Straight,1.0,1983,0.6667,Best_Director,http://www.nndb.com/people/209/000024137/,North_Bergen_Nj,9-May-1940,Terms_of_Endearment,James_L_Brooks,White,Na,Straight,1983,United States,Male
670454411,False,finalized,3,2/10/15 2:12,CÌÁslav_Czechoslovakia,1.0,18-Feb-1932,1.0,White,1.0,Na,1.0,Straight,1.0,1985,1.0,Best_Director,http://www.nndb.com/people/622/000023553/,CÌÁslav_Czechoslovakia,18-Feb-1932,Amadeus,Milos_Forman,White,Na,Straight,1985,United States,Male
670454412,False,finalized,3,2/10/15 1:52,Lafayette_In,1.0,1-Jul-1934,1.0,White,1.0,Jewish,1.0,Straight,1.0,1986,1.0,Best_Director,http://www.nndb.com/people/772/000023703/,Lafayette_In,1-Jul-1934,Out_of_Africa,Sydney_Pollack,White,Jewish,Straight,1986,United States,Male
670454413,False,finalized,3,2/10/15 2:18,New_York_City,1.0,15-Sep-1946,1.0,White,1.0,Atheist,1.0,Straight,1.0,1990,0.3333,Best_Director,http://www.nndb.com/people/545/000022479/,New_York_City,15-Sep-1946,Platoon,Oliver_Stone,White,Atheist,Straight,1990,United States,Male
