birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person,Coordinates
Los_Angeles_Ca,1937-08-08,White,Straight,1980,Best_Actor,Kramer_vs_Kramer,Dustin_Hoffman,"[34.052235, -118.243683]"
New_York_City,1943-08-17,White,Straight,1981,Best_Actor,Raging_Bull,Robert_De_Niro,"[40.712776, -74.005974]"
Grand_Island_Ne,1905-05-16,White,Straight,1982,Best_Actor,On_Golden_Pond,Henry_Fonda,"[40.926395, -98.342013]"
Scarborough_Yorkshire_England,1943-12-31,Multiracial,Straight,1983,Best_Actor,Gandhi,Ben_Kingsley,"[54.282879, -0.401187]"
San_Diego_Ca,1931-01-05,White,Straight,1984,Best_Actor,Tender_Mercies,Robert_Duvall,"[32.715736, -117.161087]"
Pittsburgh_Pa,1939-10-24,Middle_Eastern,Straight,1985,Best_Actor,Amadeus,F_Murray_Abraham,"[40.440624, -79.995888]"
Washington_Dc,1950-03-20,White,Straight,1986,Best_Actor,Kiss_of_the_Spider_Woman,William_Hurt,"[38.89511, -77.03637]"
Shaker_Heights_Oh,1925-01-26,White,Straight,1987,Best_Actor,The_Color_of_Money,Paul_Newman,"[41.473942, -81.53767]"
New_Brunswick_Nj,1944-09-25,White,Straight,1988,Best_Actor,Wall_Street,Michael_Douglas,"[40.486217, -74.451817]"
Los_Angeles_Ca,1937-08-08,White,Straight,1989,Best_Actor,Rainman,Dustin_Hoffman,"[34.052235, -118.243683]"
London_England,1957-04-29,White,Straight,1990,Best_Actor,My_Left_Foot,Daniel_DayLewis,"[51.507351, -0.127758]"
Cowes_Isle_of_Wight_England,1948-09-19,White,Straight,1991,Best_Actor,Reversal_of_Fortune,Jeremy_Irons,"[50.762069, -1.298]"
Port_Talbot_Wales,1937-12-31,White,Straight,1992,Best_Actor,Silence_of_the_Lambs,Anthony_Hopkins,"[51.5912, -3.78]"
East_Harlem_New_York_City,1940-04-25,White,Straight,1993,Best_Actor,Scent_of_a_Woman,Al_Pacino,"[40.7947, -73.9422]"
Concord_Ca,,White,Straight,1994,Best_Actor,Philadelphia,Tom_Hanks,"[37.9779, -122.0311]"
Concord_Ca,,White,Straight,1995,Best_Actor,Forrest_Gump,Tom_Hanks,"[37.9779, -122.0311]"
Long_Beach_Ca,1964-01-07,White,Straight,1996,Best_Actor,Leaving_Las_Vegas,Nicolas_Cage,"[33.7701, -118.1937]"
Toowoomba_Queensland_Australia,1951-07-06,White,Straight,1997,Best_Actor,Shine,Geoffrey_Rush,"[-27.561, 151.953]"
New_York_City,1937-04-22,White,Straight,1997,Best_Actor,As_Good_as_It_Gets,Jack_Nicholson,"[40.712776, -74.005974]"
Misericordia_Arezzo_Tuscany_Italy,1952-10-27,White,Straight,1999,Best_Actor,Life_is_Beautiful,Roberto_Benigni,"[43.4632, 11.8795]"
South_Orange_Nj,1959-07-26,White,Matter of Dispute,2000,Best_Actor,American_Beauty,Kevin_Spacey,"[40.7492, -74.2611]"
Wellington_New_Zealand,1964-04-07,White,Straight,2001,Best_Actor,Gladiator,Russell_Crowe,"[-41.28664, 174.77557]"
Mount_Vernon_Ny,1954-12-28,Black,Straight,2002,Best_Actor,Training_Day,Denzel_Washington,"[40.9126, -73.8371]"
New_York_City,1973-04-14,White,Straight,2003,Best_Actor,The_Pianist,Adrien_Brody,"[40.712776, -74.005974]"
Burbank_Ca,1960-08-17,White,Straight,2003,Best_Actor,Mystic_River,Sean_Penn,"[34.1808, -118.3089]"
Terrell_Tx,1967-12-13,Black,Straight,2005,Best_Actor,Ray,Jamie_Foxx,"[32.7357, -96.2753]"
Fairport_Ny,1967-07-23,White,Straight,2006,Best_Actor,Capote,Philip_Seymour_Hoffman,"[43.1001, -77.4179]"
Longview_Tx,1961-07-15,Black,Straight,2007,Best_Actor,The_Last_King_of_Scotland,Forest_Whitaker,"[32.5007, -94.7405]"
London_England,1957-04-29,White,Straight,2008,Best_Actor,There_Will_Be_Blood,Daniel_DayLewis,"[51.507351, -0.127758]"
